         12744 function calls (12463 primitive calls) in 0.146 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    99/97    0.003    0.000    0.014    0.000 :0(__build_class__)
       17    0.000    0.000    0.000    0.000 :0(__contains__)
        3    0.000    0.000    0.009    0.003 :0(__import__)
        4    0.000    0.000    0.000    0.000 :0(_filters_mutated)
        8    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
        4    0.000    0.000    0.000    0.000 :0(_getframe)
        1    0.000    0.000    0.000    0.000 :0(_set_sentinel)
        4    0.000    0.000    0.000    0.000 :0(acquire)
       62    0.000    0.000    0.000    0.000 :0(acquire_lock)
       16    0.000    0.000    0.000    0.000 :0(add)
       46    0.000    0.000    0.000    0.000 :0(allocate_lock)
       22    0.000    0.000    0.000    0.000 :0(any)
      819    0.002    0.000    0.002    0.000 :0(append)
       28    0.000    0.000    0.000    0.000 :0(callable)
        5    0.000    0.000    0.000    0.000 :0(cast)
       22    0.000    0.000    0.000    0.000 :0(chr)
       23    0.063    0.003    0.063    0.003 :0(compile)
        8    0.000    0.000    0.000    0.000 :0(decode)
        1    0.000    0.000    0.000    0.000 :0(dir)
       12    0.002    0.000    0.002    0.000 :0(dumps)
       22    0.000    0.000    0.000    0.000 :0(encode)
      212    0.000    0.000    0.000    0.000 :0(endswith)
     25/1    0.002    0.000    0.139    0.139 :0(exec)
        1    0.000    0.000    0.000    0.000 :0(exit)
       53    0.000    0.000    0.000    0.000 :0(extend)
      114    0.000    0.000    0.000    0.000 :0(find)
      278    0.001    0.000    0.001    0.000 :0(format)
       16    0.000    0.000    0.000    0.000 :0(from_bytes)
      123    0.000    0.000    0.000    0.000 :0(get)
       63    0.000    0.000    0.000    0.000 :0(get_ident)
      194    0.000    0.000    0.000    0.000 :0(getattr)
       24    0.000    0.000    0.000    0.000 :0(getcwd)
      232    0.000    0.000    0.000    0.000 :0(getlower)
        1    0.000    0.000    0.000    0.000 :0(globals)
        1    0.000    0.000    0.000    0.000 :0(groups)
      188    0.001    0.000    0.001    0.000 :0(hasattr)
       12    0.000    0.000    0.000    0.000 :0(id)
        2    0.000    0.000    0.000    0.000 :0(init_builtin)
        2    0.000    0.000    0.000    0.000 :0(insert)
       14    0.000    0.000    0.000    0.000 :0(is_builtin)
       20    0.000    0.000    0.000    0.000 :0(is_frozen)
       21    0.000    0.000    0.000    0.000 :0(isidentifier)
      482    0.001    0.000    0.001    0.000 :0(isinstance)
        4    0.000    0.000    0.000    0.000 :0(issubclass)
       12    0.000    0.000    0.000    0.000 :0(items)
        2    0.000    0.000    0.000    0.000 :0(iter)
      363    0.001    0.000    0.001    0.000 :0(join)
1405/1383    0.003    0.000    0.003    0.000 :0(len)
        1    0.000    0.000    0.000    0.000 :0(listdir)
        8    0.001    0.000    0.001    0.000 :0(loads)
       16    0.000    0.000    0.000    0.000 :0(lower)
        2    0.000    0.000    0.000    0.000 :0(lstrip)
       41    0.000    0.000    0.000    0.000 :0(match)
       22    0.000    0.000    0.000    0.000 :0(max)
      114    0.000    0.000    0.000    0.000 :0(min)
       12    0.000    0.000    0.000    0.000 :0(open)
       73    0.000    0.000    0.000    0.000 :0(ord)
       24    0.000    0.000    0.000    0.000 :0(pop)
       20    0.000    0.000    0.000    0.000 :0(read)
        1    0.000    0.000    0.000    0.000 :0(register)
        2    0.000    0.000    0.000    0.000 :0(release)
       93    0.000    0.000    0.000    0.000 :0(release_lock)
        7    0.000    0.000    0.000    0.000 :0(remove)
        9    0.000    0.000    0.000    0.000 :0(replace)
        4    0.000    0.000    0.000    0.000 :0(repr)
       16    0.000    0.000    0.000    0.000 :0(reverse)
        4    0.000    0.000    0.000    0.000 :0(rfind)
      184    0.001    0.000    0.001    0.000 :0(rpartition)
      612    0.001    0.000    0.001    0.000 :0(rstrip)
       40    0.000    0.000    0.000    0.000 :0(setattr)
      120    0.000    0.000    0.000    0.000 :0(setdefault)
        1    0.007    0.007    0.007    0.007 :0(setprofile)
        2    0.000    0.000    0.000    0.000 :0(setter)
       12    0.000    0.000    0.000    0.000 :0(split)
      263    0.000    0.000    0.000    0.000 :0(startswith)
      181    0.001    0.000    0.001    0.000 :0(stat)
        3    0.000    0.000    0.000    0.000 :0(time)
       24    0.000    0.000    0.000    0.000 :0(to_bytes)
        5    0.000    0.000    0.000    0.000 :0(tolist)
        8    0.000    0.000    0.000    0.000 :0(translate)
        8    0.000    0.000    0.000    0.000 :0(update)
        1    0.000    0.000    0.000    0.000 :0(values)
        8    0.000    0.000    0.000    0.000 :0(write)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1099(create)
     20/1    0.000    0.000    0.119    0.119 <frozen importlib._bootstrap>:1122(_exec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
     22/1    0.000    0.000    0.119    0.119 <frozen importlib._bootstrap>:1186(_load_unlocked)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1266(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1287(load_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:129(_new_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1311(is_package)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__enter__)
     20/1    0.000    0.000    0.119    0.119 <frozen importlib._bootstrap>:1465(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
